,freq
service,1413
rooms,1222
common,38
spaces,35
excellent,553
annual,16
work,277
event,94
staff,2043
accommodations,81
always,369
top,303
notch,117
course,62
everything,512
pricey,71
including,93
parking,363
clocks,2
around,349
40,51
maybe,62
45,60
great,2041
place,580
stay,1667
austin,1785
facility,84
friendly,915
near,143
restaurants,595
entertainment,84
area,575
downtown,763
also,641
close,363
lake,200
walking,463
path,25
spa,157
first,417
class,77
would,988
expect,155
four,312
seasons,253
bar,932
lots,197
indoor,8
outdoor,73
seating,53
enjoy,162
wonderful,402
weather,31
cannot,59
say,211
enough,201
hotel,2885
small,353
intimate,6
wedding,116
halloween,3
amazing,443
beautiful,566
room,2123
dinner,202
mauricette,1
rodriguez,2
helped,81
us,619
put,108
together,32
unforgettable,7
evening,166
team,113
awesome,250
even,477
check,579
mid,18
night,738
everyone,218
smiling,18
making,106
feel,300
like,610
home,141
stayed,824
multiple,45
times,185
experience,527
must,113
weekend,313
9,40
30,96
pm,55
flight,40
ny,7
delayed,8
hour,237
got,304
2,272
exhausted,9
called,169
earlier,22
confirm,18
reservation,85
tell,49
late,151
front,599
desk,633
clerks,3
find,185
reservations,52
seemed,123
inept,1
using,53
computer,9
took,209
20,83
minutes,172
getting,130
discover,7
given,129
wrong,63
keys,30
maid,18
slow,45
twice,60
ask,137
made,444
middle,102
afternoon,72
victor,2
aviles,1
general,49
manage,11
levi,1
clerk,17
could,492
ameliorate,1
problems,41
make,374
sure,279
future,70
ones,22
gym,186
food,777
restaurant,645
outstanding,144
located,323
heart,125
city,300
live,178
music,341
lovers,2
many,371
years,138
never,270
let,97
back,593
past,75
15,68
4,213
disappoints,9
location,1413
unbeatable,3
right,371
trail,44
attentive,158
recently,110
business,416
seminar,3
immaculate,37
grounds,34
extremely,255
helpful,659
gave,150
commendations,1
tips,18
good,887
areas,131
enjoyed,296
convenience,30
staying,337
held,45
presentation,12
appreciated,112
view,453
ambiance,46
luncheon,2
cold,81
welcoming,154
look,155
forward,76
next,441
visit,280
quality,166
throughout,98
best,428
quiet,251
bed,414
mattress,32
guarantee,2
nights,267
sleep,126
perfect,405
see,246
kristi,2
concierge,240
spots,32
hit,37
5,257
well,757
appointed,131
river,168
within,252
distance,356
rainey,164
st,80
6th,381
street,611
congress,135
bat,29
bridge,87
comfortable,755
delicious,146
spend,77
warm,98
days,187
laying,5
pool,839
side,125
evenings,25
lounge,268
hospitality,79
people,377
unlike,11
conversations,16
genuine,26
easy,266
helps,6
prone,1
get,576
homesick,1
opportunity,25
lovely,184
spot,92
refurbed,1
okay,37
however,217
second,164
none,45
true,44
fs,10
style,56
3,211
october,8
happier,10
gorgeous,92
better,280
beyond,163
super,253
absolute,17
ensure,28
way,315
star,111
go,408
truly,104
quintessential,1
pristine,11
public,44
ultra,7
plush,14
towels,93
comfy,102
crisp,7
linens,29
views,181
spotless,29
carpet,23
robes,34
slippers,15
saying,38
personally,21
money,101
rather,58
fewer,1
questionable,4
spent,99
customer,195
nice,1144
little,278
touches,33
help,174
along,108
recognizing,3
addressing,3
name,66
asking,65
need,248
assistance,17
valet,408
doorman,20
texas,157
clean,864
house,62
keeping,27
attended,54
day,466
convenient,162
activities,42
want,234
luxury,78
comfort,42
access,142
short,157
walk,388
quick,121
ride,53
offer,104
thing,138
keep,97
bringing,20
sunday,73
brunch,57
suite,195
cleaned,51
perfectly,61
amenities,298
decor,153
modern,270
impressive,30
free,227
coffee,249
iced,6
flavored,2
water,264
touch,94
wish,99
use,222
facilities,84
included,59
rate,114
thank,186
pleasure,60
lot,217
new,200
hotels,383
competition,11
guests,199
intense,6
supplied,5
soaps,2
lotion,13
etc,124
turn,53
pleasant,138
surprise,53
left,165
tube,3
toothpaste,6
lady,108
bird,86
9th,9
floor,454
whole,72
exception,14
completely,39
refurbished,6
works,24
done,110
later,103
fall,12
eat,90
breakfast,459
ciclo,4
exec,7
chef,13
came,207
hi,5
produced,3
special,211
intermediary,1
man,30
extensive,11
classy,30
apparently,32
sort,18
hangout,6
drug,6
dealers,1
waiting,71
salad,21
gentleman,19
suit,12
tried,64
sell,12
narcotics,3
russian,3
accent,3
said,159
one,839
favorite,107
places,135
started,39
going,196
meetings,54
seminars,3
graduating,2
law,10
school,15
consistently,16
personalized,15
step,35
door,271
moment,89
drive,65
away,286
socialize,3
management,59
looking,172
ways,9
improve,11
whether,26
genuinely,20
care,157
card,74
key,78
failed,13
fr9nt,1
seconds,6
coming,112
return,149
august,13
meet,41
learning,3
group,89
booking,59
departure,30
renovated,50
gem,26
onto,11
ladybird,7
relaxation,14
envelope,3
arrived,191
dining,107
likely,23
lobby,548
5pm,10
11pm,7
seems,66
bit,226
destination,19
still,200
friend,48
drink,159
meeting,156
mixed,15
crowd,52
5hotel,1
try,120
whenever,34
travel,118
disappointed,114
happened,31
simple,21
delightful,21
fitness,81
center,258
brand,91
club,110
massage,25
therapists,1
facial,9
techs,1
chilean,2
sea,4
bass,11
gm,15
went,335
valued,8
keeper,2
things,186
different,127
town,216
staycation,15
remodel,10
stunning,35
friendliness,21
unmatched,5
time,818
wait,153
love,268
per,90
year,134
addition,28
fantastic,237
satisfy,3
request,102
