rating,title,review
5,INTA Leadership Meeting,"I’ve stayed at a lot of conference hotels, and i’m usually disappointed at some point during my stay. I’m pleased to say that this stay has been one of the most enjoyable conference stays I’ve ever had. Bravo to the entire Fairmont Austin staff!"
5,Cleanest hotel room I have ever stayed in.,"I recently had occasion to stay at the Austin Fairmont Hotel for a professional meeting and was very favorably impressed by the quality and cleanliness of my standard room accomodations. Having stayed in hundreds of hotels over the years, my accomodations were distinctively excellent and remarkably clean. In addition to my room, my initial registration encounter with their registration host, Carter, was warm and consisted of a highly professional welcome and introduction to the hotel."
5,Makes even a work trip a pleasure,"The Fairmont is fairly new and everything seems fresh and pleasant. The rooms are pleasant with large windows, sufficient lighting (on dimmer switches), a Nespresso machine, a full length mirror in the closet, a bathroom with lighted mirror and magnified, lit make up mirror, and glassed-in spacious shower--i.e., all the basics that are all too frequently missing in many hotels. The staff was gracious in all my interactions. The highlight for me was definitely the spa and salon. I squeezed in an excellent massage with Sky and the best pedicure I have ever had with Ni. Seriously. My toenails looked so smooth and the surrounding great after all her trimming, filing, and buffing, I thought about skipping polish--but she had proposed such a pretty color, I went ahead, and it…"
5,First time Austin visitor,"Great property, location and F&B. Could dim the lighting at the main lobby bar somewhat. The Gold Club access was more than worth while, very convenient and again very good selection of F&B throughout the entire day."
5,Fantastic stay on Gold Level,The staff at the Gold level desk were attentive and welcoming. Sebastian Trudeau in particular was great. The chef making the omelettes made excellent omelettes and the breakfast service in general was just right.
5,First Rate Experience,The Fairmont Austin did not disappoint. The staff and service was outstanding. Would absolutetly recommend this hotel to tourists and business travelers. The hotel was conviently located in the downtown area and right across the street from the Convention Center. Easy access to wonderful restaurants and bars.
5,Fairmont Excellence!,"We were very pleasantly surprised with the degree of service and attention to detail throughout the hotel. We’ve stayed at our share of conference hotels around the world, and this was by far one of our top experiences ever. The club was nothing short of exceptional. The concierge at the club was extremely knowledgeable and gave good recommendations and direction. The entire hotel is aesthetically very pleasing."
5,Fairmont Austin always delivers,"This was our third time to stay here and this property always delivers. Property is beautiful and staff truly cares about customer service. Also appreciate how much sound-proofing the rooms have, as I'm a light sleeper. Upgrading to the Gold level is also totally worth it just for the breakfast buffet alone."
5,Service at best,"The hospitality and service in this hotel were very surprising to me, i did not see it for a very long time in the states. food is really good and rooms are big and clean. location is quite good as well."
4,fine conference hotel,"very nice, but the little things need work. My in room coffee machine did not work. I even asked to have it replaced. They claimed to fix it. The machine still did not work. The elevators are often jammed. They did not anticipate the number of people that will be using them."
4,Great stay!,"Hotel grounds, room and restaurants on property were great! Attended conference here only negative was not a lot of additional seating to do quick lobby meetings. Staff was very friendly and helpful. Ate several meals at hotel from breakfast and lunch all were top quality and tasty!"
5,Great property!,"right in the center of everything. Great service. The room was impeccable. The ""little"" touches were noticed easily! (the bar had very nice unique touches, the guest room also, the housekeepers did a great job of cleaning)."
5,Elegance and Excellence,The people and the property at the Fairmont Austin are superb! The accommodations are great - rooms well appointed. The restaurant choices are many and all of the restaurants have excellent options. Conveniently located in the heart of downtown Austin so easy to get to various hot spots and just a stones throw from Rainey Street as well.
5,"Impeccable Service, excellent staff.","The Fairmont is definitely a 5 Star hotel. From the accommodations to the amenities to the excellent staff, everything was flawless. It was our 18th anniversary and everyone we encountered comped us something or brought a gift. I have to highlight a few individuals, even though they were all great. Our bellhop Collin Johnston was fantastic. He was so sweet w/ an infectious smile. He brought up a mini fridge for our beer and champagne and then he came back w/ a hand written card to congratulate us on 18 yrs, definitely above and beyond. Paul Remy at the front desk took great care of us and I didn’t get his name, but the assistant manager when we called also gave us impeccable service. We had a great staycation and really appreciate the staff."
5,A comfortable stay in Austin,"I liked the bed in my room. It was so comfortable even if the weather outside was not that great. The only thing that was not included in my room was an alarm clock and a radio; other than that, my room was alright with its BLUE motif design that suits me very well. The hotel is new from its inner and outer facade with a style that suits me well. I like the paintings on the 7th floor level and the color motif the entire hotel has chosen happens to be my favourite color, BLUE."
5,Lovely staycation!,Everything about our stay was perfect. The concierge Ryan A went out of his way to ensure we had a fabulous stay. All staff was incredible and it was quiet and cozy. Will definitely return in the future!
5,FABULOUS!!,"This was a fantastic hotel on all fronts. Service, accommodations, food, friendliness of staff all earned 5 stars. I will definitely stay here again when visiting my daughter at the University of Texas in Austin!"
5,Memorable Stay- BEAUTIFUL HOTEL AND AMMENITIES,"I don’t even know where to start... my experience from the moment I walked through the doors to check-in, from the moment I was checking out- was AMAZING My family and I did not want to leave!!! The quality and service is above and beyond from the bedding, service, Baby Bliss hair dryer, etc..The pool is so beautiful, you just feel luxury- they had a standup spray sunscreen machine 😁Although the most memorable experience was went we had dinner at the restaurant- we were greeted by Alif Hornsby. He was well versed on the menu and was able to give recommendations. We ordered off the Happy Hour menu and was able to try just about everything off the menu and it was all flavorful. Alif is the type of server that leaves an impression- Fairmont Austin is so lucky to have someone like him represent this establishment, he exudes the type of top notch service. Went so far as to give us recommendations for, Things to do in Austin! Because of him.... we will not hesitate to come back when in town and even recommend this hotel!!I was impressed with a server from the coffee shop by the name of Ashley who took time out and takes to me about my line of work and share her story as well!! I love the interaction and the extra mile she took😉.If you are a gym fanatic- the gym is everything you would ever wish for. The equipment is quality and plenty of space.I left this hotel with a smile and was quite pleased- see ya’all soon!!"
5,"Beautiful property, great staff","I stayed recently for a conference. The property is beautiful and the staff is great. Really impressed with the food as well. Proximity to the trail along the river is a bonus for a morning run. If it's in your budget, I'd recommend the Fairmont."
5,Fairmont Austin Lives and Breaths Accor Culture: SERVICE FROM THE HEART!,"I had an enjoyable experience at Fairmont Austin as follows:Check-In - Dallas was so accommodating and pleasant, fast, and efficient.Bellman - Collin was a fantastic listener, surprising for a young man that youthful (There is HOPE for his generation). He had some additional items sent up to him that I mentioned in our discussion.Bartender for Brunch - Michael Tucci: Was welcoming and able to multi-task well considering how busy it was. I was so hungry when I arrived, and the service did not disappoint me.The GEM of my trip by fare at The Fairmont Austin was none other than Mr. Mitch Cohen; this gentleman indeed was one of the most gracious professionals that I had the pleasure of meeting. I came into the Bar for brunch, and I had a hot chocolate, but by the time I was getting ready to drink, it had gotten cold. Mitch made it a point to say hello to the guests in the restaurant, and then he made his way over to me with a new cup of ""HOT"" hot chocolate. That made my day! Honestly, throughout my entire stay, I felt like I somehow regularly saw him because he was checking and making sure I was doing ok. I truly appreciate that level of service.Thank you also to Effy, Ashley, and the Good Thing Team! LOL loved that!"
5,Great Location and Beautiful,"amazing service, Love the location, Rooms very comfortable,and bed, very clean. Great coffee at the coffee shop. The Pool its great, with an amazing view. will stay again and again. Congrats to the Management!"
5,Love the vibe!,What an awesome hotel in the heart of Austin! I was there for business and notice the hotel is very busy with conventions and social celebrations. The Bar area is such a great place to relax. The Revue is a great concept to explore different kinds of cuisine. I had a great view of the pool area. Rules and Regs is also a fun place to hang out as it overlooks the city skyline.
5,FICP,"The hotel is stunning and the staff went above and beyond in every aspect of my stay. For out meeting the attention to detail, creativity, and food and beverage was over the top. This hotel is 5 star all the way"
5,Fabulous hotel!,We stayed at the Fairmont for a wedding weekend and could not have been more pleased. The hotel was immaculate. The service was great from check in to check out. Hotel bar was nice and the bartenders were very attentive. The attached “food court” was really cool and the food we had was amazing. The little coffee shop was great for a quick bite and drink in the morning. Nespresso machine in the room was a great perk. Great location with walking distance to all that downtown Austin has to offer. Live music in the lobby and complimentary cocoa and chocolates was really nice. Overall- exceptional stay! We can’t wait to go back!
5,Fairmont Gold,"By far the best hotel in Austin in regards to service and spa. I always stay in a Fairmont Gold room which not only gives you access to the lounge but allows you to check in at the Gold Lounge desk which allows you to bypass the lines downstairs. A major selling point in my opinion especially after a long trip. Check-in is always easy and I stay there so frequently that the staff there remembers me and makes it a truly personal experience. The rooms are beautiful, the beds are more comfortable, and the breakfast and canapés in the evening I think make it quite a deal."
