rating,title,review
5,"Excellent, but pricey","The service, the rooms, and the common spaces are all excellent. We have an annual work event here and the staff and accommodations are always top notch. Of course everything here is pricey, including the parking that clocks in around $40, maybe $45."
5,Four Seasons - Austin,Great place to stay in Austin. Great facility & very friendly staff. Near restaurants and entertainment area of downtown Austin. It is also great to be so close to the lake and walking path. The spa is first class but pricey as you would expect at Four Seasons. The bar has lots of indoor and outdoor seating so you can enjoy the wonderful Austin weather.
5,Four Seasons Halloween Wedding Stay,"I cannot say enough about how wonderful the staff at the Four Seasons Hotel Austin is. We had a very small intimate wedding on Halloween and everything was just amazing. Beautiful room, wonderful dinner. Mauricette Rodriguez and all the staff helped us put together an unforgettable evening:)"
5,Awesome customer service!,The team at this hotel is awesome. Even when you check in after mid night everyone is smiling and making you feel like you are at home. We have stayed multiple times here and always have a great experience. It is a must stay for a great weekend.
5,"Beautiful, classy & comfortable.","Our 9:30 PM flight from NY to Austin was delayed an hour & we got to the hotel about 2 AM, exhausted. We had called earlier to confirm the reservation & tell them we'd be late. The 2 front desk clerks couldn't find our reservations, seemed inept at using the computer, and check in took about 20 minutes getting us to our room at 2:20 AM,, only to discover they'd given us the wrong keys.Also, maid service was slow & twice I had to ask for the room to be made up in the middle of the afternoon.BUT....Victor Aviles, General manage & Levi, front desk clerk did everything they could to ameliorate the problems & make sure there were no future ones.AND...the rooms are beautiful, they gym is great & the food in the restaurant is outstanding."
5,Another great stay at Four Seasons Austin!!,Great Hotel located in the heart of the city. Everything you would expect from a Four Seasons!! We are live music lovers and have stayed here many times over the years and they have never let us down! We will be back
5,4 Seasons Austin,"Great hotel, I have not stayed at any other hotel in Austin for the past 15 years. 4 Seasons never disappoints... The location is unbeatable, right on the lake and trail. The staff is very attentive and friendly."
5,"Beautiful resort, immaculate grounds & rooms!","I recently stayed here for a business seminar....immaculate rooms, beautiful grounds, great food, extremely friendly & helpful staff! Staff gave us commendations for restaurants, tips for good areas, very helpful."
5,Very appreciative of your friendly genuine staff.,"We enjoyed our stay at Four Seasons Hotel Austin, the convenience of staying at the hotel where our event was being held and the excellent food presentation was very appreciated. The view from our room and the ambiance at the outdoor luncheon with the cold front was welcoming. Look forward to our next visit."
5,Great Experience!,"Wonderful stay. Quality throughout, best rooms, awesome friendly staff. Rooms were very quiet and the bed mattress will guarantee you a great nights sleep. Perfect location to see a great city, Ask Kristi the concierge the best spots to hit, she was 5 for 5 with us."
5,Four Seasons Austin,"Well appointed and located on the River at the heart of downtown within walking distance to Rainey St, 6th Street and the Congress St ""Bat"" Bridge.. Comfortable rooms, great service staff and delicious food. Spend warm days laying pool side and evenings in the lounge."
