rating,title,review
5,Welcoming and Gracious Staff,"Our stay in Austin at the Hilton was enhanced by the warm and receptive staff who helped us with all our requests. They are positive and jovial, setting a great tone for guests. Special thanks to Christopher who greeted us every morning with a smile and great knowledge about Austin."
5,Great Location. Great Staff.,"Shortly after checking in I was contacted via text by staff (Kittana) asking how my experience was so far and did I need anything. These text's came periodically asking if I needed anything and suggesting helpful ideas. When I needed a late check out I simply texted back and Kittana, Kimberly and Juan all took care of it for me and suggested I could easily do an express late check out by sending a text when I was leaving the room. Everyone was extremely helpful and sincere. The hotel is in a great location downtown close to all kinds of restaurants and the workout room and pool (with a pool bar) on the 8th floor were great to work out or lounge out. It's an outside pool. Overall a great experience and I would recommend it as an Austin hotel destination."
5,Revisiting Austin,"Okay folks. If you have never been to Austin and looking for a hotel, this is your hotel. Updated, clean, great staff. Excellent location. My hats off to Kendell, Garrett and of course Ms. Lisa in the executive lounge. These are outstanding hotel staff members!!! It was great being back after 4 years. Thank you staff for all you did making my stay perfect. If you stay here you will not be disappointed."
4,"Excellent Location, clean hotel","Great location. Nice rooms, very comfortable. Starbucks off the lobby! Lights, thermostat controlled via bedside device. Plenty of TV and PPV options. Just a block off Sixth Street and a few blocks from UT."
5,Best hotel in Austin for Conference,"From the arrival to the departure, this hotel was the perfect place to host a conference. The location is in perfect proximity to local restaurants, venues, and Rainey Street. The highlight of my trip was meeting the security officer Christopher S. My colleague left a bunch of things in her room before flying home. I checked in with Chris and explained to them what items we left (very descriptive) and he was able to get them for us. Polite and super helpful! Many thanks, Chris!"
3,Forced to downgrade,I was mostly upset that I had booked an executive room and when I arrived for check in at 4:00pm I was told my room wouldn’t be available for 45 more minutes. I had an event at 5 and needed to get ready so this wasn’t an option. I was forced to downgrade rooms. The check in time was supposed to be 3. I thought it was very unprofessional for a hotel of this quality to have to downgrade me because of its poor planing.
3,Our stay at the Hilton Austin,Disappointed not very clean toilet overflowed way over priced no one told us how to use the self parking will not stay again or recommended no one even offers anything to us when I told them about the toilet
3,"Nice physical property, not well managed","Stayed for a conference and while the physical plant is great, the overall experience was not as good as the Hampton Inn (a lower cost Hilton brand) I had stayed at earlier. I had about five issues over five days and while each time the staff offered comps to make me feel better about the cold shower, lack of service in the executive lounge, or incessant bings announcing a digital key over several days, I would have much preferred a smoothly performing property to the series of small comps."
2,Bit by bug in room,"Checked into hotel on Wednesday 11/13/19. Took a nap as I had had an early flight. Was awakened in the middle of my nap by a bite on my leg. Couldn't find anything in the bed but my ankle started swelling up and getting red. Ended up having to go to urgent care and be started on an antibiotic. Told the front desk about it and they sent up ice packs, but haven't even offered to comp me one night of my stay. Ridiculous! I expect better from the Hilton."
5,Best hotel room for a gym enthusiast,"During a work trip to Austin, our team booked a weekend hotel stay at the Hilton in Austin. The location of the hotel was great as it was walking distance to downtown and to the many restaurants Austin has to offer.The best part of my stay at the Hilton was the room which they offered me as it came with it's very own personal gym. As someone who doesn't like to skip on her workout this was perfect for me. The gym in the room had a spinning bike, wall balls, resistance bands, weights, trx and more. It also offers a system which can suggest different types of workouts such as boxing, yoga or HIIT. I truly enjoyed my stay in this room and also being able to workout at my own convenience just a few steps away from my bed.A big thank you to Garett who checked me in that night (2 november) and offered me this room when all i had asked if the hotel had a gym onsite. He was great and really helpful.Thank you for making my stay at your hotel memorable!"
2,Executive lounge and front desk service downgraded,"I stayed at this hotel 2 or 3rd time. I noticed the Hilton Austin front desk service quality is not great and lounge are getting worse and running down. We witnessed scandal dispute between hotel front desk and FFTP program guest who attempted to clear situation to check in. The front desk rep Jeremy and his team were not friendly and their team is unfriendly unfair with FFTP guests which employees of the hilton booked for own family members to stay. These front desk reps created problems and caused stir in public. We feel bad and sorry for FFTP guests. Front desk reps are arrogant and cynical. By the way, Hilton Executive Lounge is running down. Its located on 25th floor. The lounge offers limited snacks and coffee/espresso machine is broken. No coffee at morning and during daytime. Breakfast taco are lousy and very limited at breakfast. No eggs and no hot breakfast at current time. In past they offered best options and their current lounge menu is downgraded. Wine/beers are for sale and not free. Better to go to Embassy Suites or another hotel for free happy hour with complimentary wine and beer drinks. Therefore, Hilton Austin is on way to downgrade someday. Be honest with you."
5,Bad stay at the Wyndham & then Hilton turned my Austin trip around,"After having the my all time worst experience EVER at the Wyndham around the corner, my stay at the Hilton literally made it so that I will come back to see Austin again. It's been a while since I had an upgrade in the states and I got used to getting them overseas, then not only did they allow me to check-in early but was even given an upgrade. They didn't even know about my bad stay at the Wyndham but made me realize I just have to stick with the Hiltons. Kihona at the front desk was so friendly and such a sweetheart I felt like I was back with family and ready to not just work in the town but enjoy some of its beauty after all. THANKS HILTON"
1,Don't Stay On The Wrong Side Of This Hotel,"This hotel knows that there is a big noise problem because of a music venue next to it, yet they took money from me for it and did not tell me about it. I dealt with it the first night, but when I offered to switch rooms the second night, they said there was nothing available. Then asked for credit for one nigh and got a fan instead. Nice. It's good that there are many other hotel options in downtown Austin."
5,"Neighborhood not for us, but hotel was great","We didn’t know which neighborhood to stay in, so opted to be downtown...First night, looking for a quiet dinner - walking past hawker after hawker down 6th street.. we were actually warned that the bar scene starts at 9 pm.Not for us quiet seekers.The hotel was lovely, but we ended up taking scooters or taxis everywhere we visited.Our room was spacious and on the executive level.We were upgraded to a corner room, so it was a bit larger than our initial selection.The club lounge was very well stocked and well attended, and is a nice option if you don’t want to dine out for every meal.Great spa experience for a pedicure."
5,Daughter’s Birthday Trip,"My daughter turned 13, so we took a trip to spend quality time together with just the two of us. We saw a concert at the Toyota center, and it was walking distance from the Hilton Austin, we felt very comfortable there, There is a Starbucks and a restaurant inside. We had a great time."
