rating,title,review
5,"Beautiful property, excellent service","We had booked 2 king rooms for a weekend & were incredibly impressed with the size of the rooms, amenities offered (the morning coffee on each floor was awesome!) & kind service. The hotel bar on the 7th floor has an awesome vibe. We would definitely stay here again on our next trip to Austin."
2,Such a disappointing experience,"I was very excited to get a chance to finally visit Hotel ZaZa this past weekend since I love all their other properties. Friends and I went to the bar that's located on the 7th floor to enjoy a couple of after dinner cocktails. At the bar, after ordering my martini i mentioned to my friend how the bartender must of forgotten to add the garnish. The bartender overhearing this, very rudely made it a point to embarrass me in front of my friend by telling me that I had ordered something he had never made before and that he would have no way of knowing what I wanted if i didn't tell him. $45 dollars he charged me for one Mexican martini and one mandarin and soda, no automatized receipt was given. As someone who has worked in the industry for over 10 years, I was so disappointed by how this bartender handled and tried to escalate a situation in such an unnecessary manner."
5,Stunning Hotel in the heart of Downtown Austin,"If you are looking to be in the heart of downtown with fabulous service look no further! Everything is top notch from the bars to the pools to the valet service. Rooms are extremely comfortable, would stay here again in a heart beat. Thanks Zaza Austin for an amazing stay!"
5,Rock Star Hotel,"This is a rock star hotel experience from start to finish. Friendly valets make pulling into this hotel a perfect start of our weekend. Upon arrival we were treated to 2 complimentary glasses of good red wine as the front desk checked us in. The lobby is inviting and hoping on a Friday evening. Our room was spacious and very comfortable. There are incredible photos and artwork throughout the hotel that really make this a special experience. Our room had every amenity we needed with very soft and luxurious robes. The bar lounges are happening at this hotel and it’s fun just to people watch as we sipped some great Old Fashions from our table. We had breakfast both days at the hotel that was affordable and delicious. Can’t say enough of all the thought that went into designing this hotel. The staff is incredible and ready to make each guest feel like an actual Rock Star during your stay. They have the little things like a jar of lollipops and hot tamales for the sweet tooth and a butlers pantry with coffee service on your floor that other hotels don’t do. The turn down service that included water bottles, tea candles for ambiance and the chocolate bon bons was a great finishing touch to what was a great nights sleep. This is a special place so we will make this chain our top choice when we come back to Austin or visit other Texas destinations. Outstanding Hotel value with a great staff!"
5,Amazing Hotel,Property is absolutely stunning! Service was on point from the minute we walked in the door until check out. The vibe of the hotel makes you feel like you are in a swanky five star resort in the middle of downtown. Close to hot restaurants and bars if you are looking for fun outside the hotel. If not and you want to dine in their Reuben sandwich is to die for. Will definitely stay here again!
1,Loud!!!,This is the loudest hotel in Austin! I can hear the music in the bar loud and clear! This is not a pleasant place to stay. The staff is not helpful or friendly. The front desk was not accommodating and not friendly during check in. We will be cancelling our reservation for May! Do not stay here unless you want to stay up all night!
5,amazing hotel,"from the rose wine after 4pm, cookies, coffee and tea free every floor, lovely pool, very helpful staff, beautiful rooms, nothing is overlooked, great location.every detail considered. loved the bar and restaurant on the 7 th floor."
5,Amazing check in.,Just flew into Austin for business trip and arrived super early. Elisha was amazing. She got us our 3 rooms within 30 minutes of arrival even after crazy F1 race weekend. Get to the Austin Zaza as fast as you can.
5,"Great Hotel, Even Greater Service.","We decided to hold our team meeting at Hotel ZaZa this past week. I am a huge fan of Hotel ZaZa as we always have had great service. Jessica and the ZaZa team went above and beyond our high expectations. From the room setup, food and beverage selections everyone went above and beyond expectations. And they did all this while getting ready for a big visit that they had the next day.I highly recommend staying at Hotel ZaZa whole in Austin, and if you get a chance to host your team meeting I would do so."
5,Visited spa only,Wow wow wow. The most helpful staff ever and a brilliant facial.The smell of the place absolutely divine. Robes super comfy. Enjoyed the champagne while I check in.I felt the changing area let the rest of the place down. It wasn’t bad but the rest of the place is first class
5,Austin City Limits,"I usually don’t write reviews but this place was awesome. The location was within walking distance or just a short ride from so many bars and restaurants. The staff was very friendly and accommodating any time of day or night from the valet to the manager, Alex. The rooms were very comfortable and the shower felt like you were under a waterfall. Overall I loved this place and can’t wait to come back to Austin. When I do, I’m definitely staying at the ZaZa."
5,Amazing New Hotel,"I recently stayed at Hotel ZaZa downtown Austin and was blown away. This is definitely one of the nicest hotels I have ever stayed at. Beautiful art and a great style through out the hotel, every detail inside and out was truly impressive. The rooftop pool with full bar and dining is a beautiful lookout over the city. On top of the hotel itself, from the doormen all the way to the room service, staff, and service we all so helpful and kind. If you are looking for a true VIP experience in Austin, Hotel Zaza is the place for you!"
5,Amazing,“Valet Director” BASSO rocked our stay at this amazing hotel!!! I felt like We had a personal concierge! He was there for our every need. The hotel was an experience in itself. Absolutely gorgeous! Nice touches and services everywhere. Staff was super and kind. The only negative vibe we got was from sort of a scary guy with a beard named “Drew”. He needs to go. He is not nice and does not fit the mood of the hotel and the relaxed style of the staff. I was hoping he was someone’s personal body guard but I understand he works there. Thanks for an incredible stay Za Za!
