rating,title,review
4,"A traditional hotel, convenient, excellent service","The age of the hotel shows in the decor (much red etc) but everything is impeccably clean and all the modern comforts are there. A good bathroom with all amenities, a closet and drawers etc etc. Very friendly and efficient service. The restaurant in not at the level of the hotel, not for menu or atmosphere, and the breakfast has the normal things but nothing superb."
5,Amazing stay!,"I absolutely LOVED this hotel! It is beautiful, perfectly located and the staff is wonderful. It was everything I hoped it would be. There is a great balcony on the second floor off the bar. You can hang out there, have breakfast there, anything. It overlooks the State Capital."
5,Beautiful hotel,"I stayed here last weekend and was very impressed with the hotel, the cleanliness and most of all the service. I'd like to especially recognize Caroline who helped us at check-in and check-out at the front desk. She did an excellent job making sure our stay went well. Everyone at the front desk, valet and bellmen were all so helpful and accommodating. We will definitely stay here again."
4,Love Austin,I have been going to Austin on business for years and always raved about it when I got home to Toronto.My wife was sold and asked me to take her . great music great food and the InterContinental is in the center of it all.Make sure that you go see the bats at dusk!
1,Worst customer service ever.,"I have been all over the world and stayed in many hotels but this one takes the cake for worst hotel for customer service. It started with the check in. We arrived on a busy weekend and from the minute we arrived at the front desk we were apologized to at least twenty times for the amount of time we had to wait to get checked in, even though we had a reservation. Clearly unprepared for a busy day. It didn't get any better from there. The continental breakfast consisted of some juice and some toast all for the low price of $25. Ridiculous. On our last day, the maid came in and broke my laptop. We had it charging on the hotel provided chargers in between the two beds on the nightstand. This area was entirely too small to be charging electronic devices but we had no choice as no outlets were located next to the desk. Go figure. Apparently the maid knocked the computer off the nightstand and then put it back in hopes that no one would notice the giant cracked screen. When I brought it to the managers attention they simply said they would investigate it and then turn it over to the insurance company. Fast forward a month... claim denied and I am out $1700 for a replacement laptop. With the three night stay costing roughly $1000, my cost for the weekend stay and one computer was $2700. Just a bit pricey. To top it all off the room refrigerator also charged us for item we didn't even use. You heard me right, the refrigerator automatically charges you when you remove an item. Even if you put it back the fridge stills charges you. They fill the fridge so you cant put any personal items in it without removing their stuff. That is shady business. Overall, one star is far too much for this place."
4,Austin visit,"Not my first time in Austin but my first at this hotel. An older building but the inside was fairly modern and in pretty good shape with a very friendly and helpful staff that took really good care of myself and my party. The bedroom was also a little dated but once again very clean and a comfortable bed. Same can be said of the bathroom, very clean but I wish there was a stand alone shower and not just a tub.The location was also very good and right in the thick of some good restaurants and entertainment.Overall a very decent place to stay"
5,Block of room experience,Erica A was an amazing blend of professional and personal (working with her to secure a block of rooms). Her communication skills and proactive actions were above and beyond. The results of our guests' stays exceeded all expectations and lended to a hugely successful weekend event! Could not have asked for a more superior experience.The actual stay was perfect too. The staff and facilities were SO much above the standard. Fabulous hotel!
5,Austin Intercontinental,"Convenient location, clean, comfortable and pleasant staff. The booking on trip advisor was easy and the hotel was exactly as I expected it would be. We were within walking distance of many of our planned activities which was very nice."
5,Weekend get away trip,"I did Expedia last minute travel and found this gem of a hotel. I booked a day before leaving, not my style but my other planned weekend getaway got cancelled so thought we would try something new. So glad we did. I called first to find out hotel information and spoke to Ryan at the front desk. He gave me so much awesome info I was sold. Hotel was great but the service was better. The hotel itself is in the best location. Gym was awesome too! I think Austin is an amazing city, it was our first time and we would go back in a minute and stay at the this hotel. Huge thanks to Ryan, we appreciated all your help and knowledge."
5,An oasis of calm,"We spent two nights here at the start of our holiday in Texas. The room was spacious and well appointed with plenty of towels, toiletries, pillows and comfy seating. The coffee machine was in the cupboard under the tv (I nearly missed it!). The bed was great as was the shower. We had a room on the 11th floor and I have to say, it was the quietest hotel I’ve stayed in. We didn’t hear a peep from the traffic below or from other guests. I didn’t even put my earplugs in (this is unprecedented). The gym was good. The staff were excellent - very friendly, cheerful and helpful. It’s a great location, totally central and easy to get to. Austin does have a very obvious problem with street homelessness as well as a very lively cultural and social scene, all of which creates an intense atmosphere - the intercontinental feels wonderfully calm and tranquil by comparison."
