rating,title,review
5,Luxurious,"If you are looking for a posh, comfortable, luxurious hotel in Austin, this is your place. The rooms are beautiful (my favorite feature were the geode sconces in the bathroom) and the staff were friendly and accommodating."
5,Easy to understand why they are #1 !!,"#4,152 to review - that is incredible!Wedding weekend. Host hotel. The best it gets. My sorority sisters and I were in a room and we had such a blast. Why we loved it:*Outstanding Concierge level - the best we've ever seen. Welcoming staff and great food. We only made it for the breakfasts and the homemade salsa is worth the trip alone! Lots of cubby hole areas with TVs. Super nice staff. The COOKIES at the Concierge Level are addictive. Beware!*Stunning hotel with so many food & beverage options. The Corner Bar has an outdoor seating area. Slammed when we arrived on Thursday.*The best fitness center of any hotel - very large, high end equipment and very clean. no excuse for not visiting. Especially after eating tacos and drinking great cocktails at the bar!*Starbucks on the 2nd level - convenient and much needed.*Helpful staff: needed a place to run in the morning and the front desk representative gave me the best place: crossed the bridge, down by the river - gravel path - perfect!Would definitely choose to stay here on any return trips to Austin!"
5,Defines a great hotel for business,This hotel is my favorites corporate destination. The location is great for all my Austin needs. The gym is in the top 10 of Bob Voy gyms I’ve been to and the lounge makes for a perfect perk for elite members. I look forward to stays in this hotel
5,Amazing location!,Was visit for a business event. It was a great stay. Perfect location close to many restaurants in the downtown area. Also utilized the conference rooms for a few meetings and the staff was very accommodating.
5,Great experience,"Everything you need in one place, greet service at check in made you feel welcome and appreciated they were thankful for you staying there. Starbucks on second level was a big plus. Food and service was excellent in the in house restaurants to the catering in the conference rooms."
5,Favorite Hotel in Austin,"Great location, beautiful and spacious rooms, great amenities, and great food. In the warmer weather, the pool is a nice spot to sit out with a drink, and I highly recommend the restaurant connected to the lobby “Corner.”"
5,A very nice hotel!,I stayed somewhere else the first night and was not impressed. The next two nights of my trip were spent in the JW Marriott Austin. I felt much more relieved and impressed from the moment my taxi dropped me off. The lobby and amenities were beautiful and my room was awesome! Very well decorated and luxurious. I will stay at any JW now that I got to experience this one. Great job!
4,hotel sold out due to Conference and room was quiet,"I attended a conference that was located at this hotel. Though sold out, my room was quiet and I didnt have to wait long for an elevator. I had a fridge in the room which was convenient. I loved using the robes provided to the guests!"
5,"Great location, great venue","Great full service venue within very short walking distance of attractions, bat bridge, 6th street bars, and the capital. Great concierge lounge and good restaurants to choose from on the property. Also a great meeting venue for small, medium, and very large meetings."
5,Beautiful and functional,Everything was excellent. The room was spotless. The WiFi was strong. The TV was very nice. Rooms are very spacious. The bed was so soft I just sank in. The pillows were so fluffy! Loved it. Highly recommended.
5,Great hotel ideally located,Great renovated hotel located 3 blocks from the Convention Center. The many restaurants and services make it an ideal place to stay for business. The staff was particularly attentive to the different needs of the business traveler.
4,Disappointing ellipticals and touchscreens,"Had to try 3 ellipticals before could find one that workedLeft step was wonky and unstable on first, second one no audio and touchscreen unresponsive, third touchscreen inconsistent. Talked to other gym goers who had same problems but also noted faulty audio and touchscreens on bikes and treadmills too. very frustrating and substandard for Marriott"
5,Great stay in Austin,"From the minute we checked in the entire stay was outstanding. At the front desk Lily was very helpful and quickly helped us get sorted out. The room was very clean, good size, and a great view. All the facilities and amenities were first class. Highly recommend staying here."
4,Girls Trip 2019 great location,This was a great hotel for our annual girls trip. Centrally located and great atmosphere. Everyone we encountered was very helpful and went out of their way to make our stay great. Overall great place to stay and I know I would stay here again.
5,GC Awards Review,"Love this hotel and the location. You could walk to a lot of restaurants and clubs. The staff was helpful and friendly. My room was clean and comfortable. In-room dining was good, Corner service was a little slow, however the servers were friendly."
5,Exemplary Staff at JW Marriott Austin,"I recently stayed at the JW Marriott in Austin for a conference and was very impressed with the facility and most importantly the professionalism, friendliness and dedication of the staff. Everyone I dealt with was welcoming and helpful. I would like to especially call out the manager of the Corner restaurant - Sarah Bryant - who went beyond the call of duty to make sure that I could get one last amazing Salmon dinner to take with me to the airport. She did not hesitate to accommodate my special needs and her efforts were very much appreciated."
5,A great Stay thanks to Manager Jenna and team!,"I must admit, my initial experience for this stay did not start off well...As has happened to me in the past, I was promised (via my Marriott Bonvoy Titanium Elite Membership) a complimentary Suite upgrade for my stay. Why this ""benefit"" is presented is beyond me as it quite honestly never works out that way and often leaves me with a sense of frustration and under appreciation as a ""valued member"". Given the difficulty I incurred online in booking a room this way I called in the Marriott Bonvoy Customer Service line and was given the ""run around"" multiple times. What made matters even worse was that the Bonvoy staff continued to insist that it was ultimately in the hands of the hotel. When I contacted the hotel, the reps blamed the Bonvoy Customer Service and the way the promotion was set up. This was obviously very frustrating to me as a underappreciated Titanium Elite Member.This is where Jenna (the Front Desk Manager) stepped in and made something happen for us. While she ultimately was not able to grant me the Suite Upgrade I was in search of, she did her best to come up with a viable and reasonable option for me and my family. She handled my frustrations with a extremely genuine concern and compassion. She made me feel understood and appreciated. I was very impressed.Ultimately, Jenna presented me and my family with a ""Hospitality Suite"" and an adjoining King Bed Room. She even followed up with a wonderful personal touch of a handwritten note and bottle of wine. Jenna's efforts certainly helped to right any booking wrongs that I perceived and allowed me and my family to have a wonderful stay. Thanks to Jenna I can say we will certainly be back!Sincerely,John Nestor"
5,Marriott Austin in November 2019,"The new Receptionists were not aware of parking options, but their day shift associates were empowered to correct the disparity at checkout! Great call by Managment! Thank you. I believe this is a local protocol only!"
5,November Weekend,"Lobby bar was excellent and the Corner Bar has a great outdoor patio and vibe.We spent time by the pool inn Sat, and had tremendous service even though it was a bit cool outside.The pool deck is extensive as it wraps around the corner of the hotel. The pool itself is not resort style, but is well laid out with private cabanas and seating.The gym is outstanding with plenty of room and tons of options of machines and free weights. I did not personally use the spa, but the ladies in our group did, and enjoyed their services.The concierge lounge was as expected, roomy, great choices, and well taken care of by staff.Overall, a five star review for sure."
5,Modern digs,"Very nice building with modern accents and up to date gym equipment. The lobby is nice for getting together for a drink near the fire. Corner and OP we’re both good restaurants and both convenient. The gym was well maintained and has free apples! Room service was professional and timely. Overall, a great stay close to the convention center."
3,Hotel,"Everything was nice but they didn't clean our room and we came to the room late at night, after a wedding and the trash was not emptied, there was no coffee, water, cups, toilet paper or towels. I called several times and the desk kept saying they were going to send someone but nobody came. Later a lady came with coffee only. I called again and then grabbed a worker that was walking down the hall. He finally got us what we needed but it was after 11:30 pm by this point. I did not have a sign on the door and as we left that afternoon for the wedding I told the lady cleaning the room next to me that our room was ready to be cleaned."
5,JW Marriott Austin knows how to do service!,"I have traveled alot this past year, the people really do make or ""break"" a place. The customer service here was outstanding. Every staff member I looked at smiled! If I needed help or looked like I did, the help was there. Lots of things to do and places within walking distance. Thank You!!!"
4,Great overall convention hotel,"I stayed at the JW Marriott Austin for the National Asian Pacific American Bar Association (NAPABA) Annual Conference, which turned out to be a positive experience overall other than the extremely salty food at the 11/8/19 In-House Counsel/Partners Dinner at the hotel, my malfunctioning room safe, clogged room toilet, and low sink/shower water pressure (I did not report this latter problem). Hotel staff was quick to fix the malfunctioning safe and toilet, and I appreciated the complimentary beverage voucher the hotel offered me at the Starbucks pop-up within the hotel (on Fl. 2) for my troubles."
1,"Old, nasty","ItS an awful experience. Manager received me with no hospitality skills, never offered option to solve a problem. The property is old and filthy. In addition is expensive and has no options to eat. Never go please."
4,Love this hotel not happy with housekeeping,Housekeeping is poor to non-existent. Did not get our room cleaned the first day and the second day the job was half done. Did not take and replace dirty classes and the room was not that neat....bed was made but sloppily.We love JW's and it is our preferred hotel when we travel.
5,Outstanding!,Felt welcome from the minute I walked in. Greeted and checked in immediately. Was walked to the elevator. Great guest service. The food was also excellent and very reasonably priced for a hotel. Staff was super pleasant at all times! Highly recommend this Marriott
5,Exactly what you expect from a JW Marriott,"This hotel is a beautiful building fully loaded with amenities in an excellent location. The lobby bar has a warm, cozy feel with a beautiful natural gas sculpture/heater in the center of the room. The service was friendly, fast, and competent, and the hotel has a prime location for many of Austin's best sites. Our visit was exceptional.We stayed on the 33rd floor which had amazing views of Austin. The elevators are quite fast and fortunately skip over many of the interior floors. Be ready to have your ears pop though. We visited in November so we didn't use the pool, nor did we have time to use the exercise room.Ice is on the 5th floor which at first was a little annoying when you're situated on the 33rd but then I learned you can just pop by off the elevator on your way up and grab a plastic bag of ice from the freezer to take with you so you don't have to take your bucket all the way down and then back up.They have a nice happy hour deal at their restaurant OP italian with really amazing calamari. Starbucks is on the 2nd floor for coffee needs."
5,Traceller,Michelle in the lobby bar is an all-star. Her knowledge of her craft combined with her incredible personality and conversational prowess is second to none. I would follow her anywhere! Incredibly friendly and accommodating.
5,Business teip,"The JW Marriott was nothing short of amazing. We stayed on the 14th floor and the view was amazing. The staff was very nice and accommodating from check in to check out. The hotel was clean, warm, and inviting."
1,"No Sleep, Just Blasting Music From Pool, Including Weeknights","Avoid this hotel like the plague if you like to sleep or relax. It blasts music from its pool deck around two nights a week including weeknights when you may want to actually sleep and get ready for work. Managers don't care as I was told ""it's a private event and there's nothing we can do about it"". Literally it's in their hotel and ""there's nothing they can do about it"". The photos is from a rager on a SUNDAY NIGHT."
4,We enjoyed this hotel!,My husband came for business and I joined a day later. The room was comfortable and clean with a nice bathroom. The lobby is quite large and he enjoyed the restaurants and we had good room service food as well. There is a nice bar area on the roof by the pool that has fantastic views of Captiol and the river on the other side. You can see the bats sometimes at sunset during the time of year they are around. Staff was great and i would not hesitate to stay here again.
5,Excellent help,Had special function in the Presidential Suites. The problem was a key to the room was needed to operate the elevator. Paula/others were helpful to enable us to get to the function and maintain security.
5,Comfortable stay,Here for business trip upgraded to nice corner room on high floor. Very courteous front desk and concierge. Gym was well equipped and all machines worked. Only negative was slow service in Italian restaurant
5,Austin at November,"We stayed at the JW this November. The room was very quiet, and very clean. It is what i expected. Wonderful place to stay. It is especially convenient to active downtown's activities. It is an easy walk or a ride to all the necessary places."
1,"Beware of ""Suites"" here","I used my Suite Upgrade here and was docked 4 nights for a totally average room. They didn't even have a refrigerator in the room. I was told because there was a king bed and a view on a high floor that that was a considered a suite. B-O-L-O-G-N-A! Also, I dropped my laundry off day 1 and was told it would be back at 6pm that night. It was not in my room when I got home late that night, so I called in the morning asking for it. They told me they were sending it right up and when the bellboy arrived all he had was bottled water. Turned out my laundry was not ready yet. I did not have any clean underware or socks so that sucked. They waived the charge on my laundry, but still WTF? I will not stay here again and would advise anyone else to steer clear!"
5,Wonderful hotel,"Great location, 5-star rooms, very modern. Great access to all of downtown, easy in and out access to the airport, about a $20 Uber/Lyft ride. Good meeting areas, very spacious. Conference rooms and food were top-notch."
4,Review,"This is an excellent hotel in a great location. I have a few suggestions for improvement:1) The elevators are a hassle. Everyone had trouble with the key cards trying to get the green light to come on. That system is a royal pain, especially when you have luggage, when the elevator is crowded, etc. Moreover, the elevator door closed very quickly and hard on me one time, hurting my shoulder.2) The front desk folks were not necessarily customer service oriented. Rather, it seemed like the people we dealt with there were simply trying to process us as quickly as possible ... never made eye contact, didn't explain anything about the hotel, etc. For such an exclusive and expensive property, it seems like the front desk staff should be a bit more welcoming and service oriented."
5,Beautiful Hotel in the heart of Downtown Austin,"Everything about our stay was perfect. Check in was a most pleasant experience, our room was lovely, spotless, well laid out, and quiet. The executive lounge was the ""perfect"" J W Marriott experience, and the gym had all the equipment and machines one could ask for. Parking was very convenient. Everyone so helpful."
5,Central to downtown Austin,"Centrally located on East 2nd Street, this property was convenient, gorgeous and comfortable. The rooms were lovely! I had views of the city skyline and the river. The staff were exemplary and accommodating. I ate at the Corner restaurant and it was delicious. This hotel is close to many restaurants with local flavor as well."
