rating,title,review
5,Trendy and comfy hotel,"Stayed here for a conference down the street at the Fairmont. I am glad I stayed here so I could have some down time from work while the Fairmont is just 3-minute walk away.The hotel is decorated with a music motif and the rooms are decent size despite being a boutique hotel. The property is kept very clean and new.The staff ranging from reception, concierge, bell desk and doormen were all extremely helpful and hospitable. My luggage was delayed and I also had packages arriving for me. Sean and Ray both ensured that they were promptly delivered to my room.I booked my stay through a hotels.com and my booking included breakfast. The hotel gave me a USD50 credit for food and beverage per day. I used it for breakfast or lunch on different days. I appreciated the flexibility.The food was also excellent. The restaurant was on the 4th floor.If I come to Austin again, I would certainly stay here again. There are plenty of restaurant choices about a 15-minute walk away at 6th Street and Congress, or it was a 5-10 minute walk from the convention center."
1,You won’t sleep,"We decided on this hotel as it was away from the rowdy part of town (6th street). We checked in after 20 hours of travelling, went out for a meal and were back in the hotel for an early night before a day of sight seeing the following day. We were on the 5th floor and at 10:30pm music started from the hotel bar below. The hotel provide earplugs in the bedside draw, however the room was vibrating as there was a rock band on and the drums were so loud and intense it made it impossible to sleep. I called and asked if music would be on the following night, and was told it wouldn’t be. This meant there was no need for me to ask to switch rooms. The following night after a day of sightseeing and drinks we were back in the room for 9pm due to a 7am start to get back on the road. At 9:30pm music started again, even though I had been told there would be no live music!!! We missed our alarm as we were so tired so were late leaving the following day. We paid a lot of money to stay at this hotel for 2 nights, expecting a quality experience and good sleep, it was a complete waste. They leave a note in your room to explain you’re in the “music capital of the world”! That might be true, but the noise from Rainey Street was no problem at all. However, if you charge the prices you charge, I suggest investing in sound proofing your bar! Let down for a Kimpton hotel. Would not recommend, you may as well stay closer to 6th street, you’d get a better sleep!One positive....Clarence one of the hotel door staff was absolutely fantastic. So helpful with directions and advice on the area, very interesting man and an asset to the hotel. Every hotel should have a Clarence!"
4,Fantastic stay for F1,"From the second we were warmly greeted at check-in by the fantastic Kara this stay was everything we had hoped and more.The hotel is modern and extremely well situated, right in the heart of bustling and youthful Rainey Street and a short 15 minute walk from the more traditional 6th Street.Internally Geraldine's on the 4th floor is chic, with a decent selection of drinks and excellent food - one night we couldn't decide what to have individually so we simply ordered one of everything and ate a la banquet.There is also live music every night in Geraldine's and I didn't hear a bad act in the 9 nights I stayed there.Happy Hour should last longer than 5-6pm daily is my only criticism, especially when the F1 is on and it's very difficult to get back from the race track in time.Great stay, I'll be backMike ScalesIHG Spire Ambassador Member"
5,Very trendy modern hotel,"This is a fantastic hotel for anyone who is young, trendy and looking to go out on Rainey street.It’s just behind Rainey’s many bars, clubs and restaurants, so if you are planning to party hard but then retreat to a luxurious and modern hotel at the end of the night - the Kimpton will be perfect for you!The lobby is very funky and on check in you can get a free watermelon cider - very hipster.But all staff is very friendly and efficient and our room was even ready early.We had some French champagne and chocolate strawberries waiting for us in our room as we were travelling for our anniversary - lovely touch!We also got upgraded to a river view room - very nice!The room was spacious, very clean and surprisingly quiet despite being just above the pool deck.They must have good sound proofing which is great if you have a room above Rainey street, especially on a weekend. (Live music everywhere!)The pool deck is the place to be, all the hot young people hang out there.Definitely not a place for older people, but we aren’t huge partiers and still really enjoyed it.Would definitely recommend this hotel."
3,"Trendy hotel, but tired room","We had pretty high expectations for such a well reviewed hotel of this class. First impressions of customer service, valet, and lobby were really great. Learned about an upgrade at check-in, which was very welcome, but the upper floor room seemed like it had barely survived a party and being my first Kimpton stay, was not a good representation of its advertised brand (see pics). It was a room with a great view, though!Walls were scuffed, lamp shades dented, stains on the curtains, and less than functional bathroom door. If this hadn’t been a rewards stay, I would have complained more vocally.The mattress was average, which we also found disappointing, for a hotel at this price point. I’ll admit, We’re spoiled at home with a very comfortable mattress so it’s rare to be impressed in this category.They did serve excellent coffee in the ground floor cafe, probably the most flavorful coffee I’ve had of any hotel stay.We also really appreciated the happy hour, where it was quite busy in a vibrant, comfortable atmosphere."
5,Great location,"Lovely, very large boutique hotel with a stellar location. The views from the upper floors are fabulous. The service from top to bottom also fabulous. The happy hour with free margaritas and wine a very nice touch. The cafe on first floor was GREAT. (Though it would have been nice to have free coffee in room.) A little pricey- but that's Austin for ya.The pillows and mattresses (bed comfort) A +."
5,"Location, Boutique & Beauty","Another area we must recommend when visiting Austin, TX is Rainey Street district. A little historic neighborhood with small houses that have been converted into mini bars and restaurants. Right in the heart of all of them is this magnificent hotel with incredible views, a fine bar and restaurant... but, overall a great Austin vibe clearly in the spirit of live music and entertainment. It has a rustic feel, but we assure you everything is modern and clean :)"
5,Wowza!,"My teen daughter and I were in Austin for the first time to see 'Hamilton' and stayed here on points. We arrived a little early and our room was ready, they upgraded us to a suite on a high floor without even asking! I was offered a local beer upon check in. The lobby is fabulous. We opened the door to the room and wow! Our room was facing the Fairmont and a construction site crane but the room itself was the view. One of the nicest rooms I have ever stayed in. We had a soaking tub and didn't have time to use it. The decor was a lovely blend of modern and antique, with leather furniture and even a yoga mat in the closet. Good sleeping, it was quiet. (We were probably the late to get back in noisy guests) If you need a wine opener, look no further than the drawer close to mini fridge. They thought of everything. This was our first Kimpton, hopefully not our last. They also gave us a late check out of 12:00 when we returned late from the show. Restaurant was really neat with friendly employees though food was pricey and not that great for breakfast. It was convenient, though. Doormen were awesome, friendly and funny. Such a great experience. Do this if you can!"
5,Stellar Hotel,"Sorry for the late review. Stayed here in the summer of 2019 and enjoy my first visit to Austin immensely. Kimpton Van Zandt is the perfect hotel and a cool and vibrant city. You’ll forget that you’re in Texas. The staff all around was very friendly and accommodating. Location is good, near a lot of food trucks and hip bars. Downtown Austin, proper, is a good walk or short bike/scooter ride away. I can’t wait to visit again, the pictures say it all!"
5,Unique Property,"Van Zandt has a unique location, close to a row of pop-up restaurants and bars. The hotel is modern and has a great vibe. The pool area is a popular spot and the second floor restaurant has live music, for breakfast too."
