rating,title,review
5,Wonderful Stay of Three Nights,"We recently stayed at the Omni for three nights and had a great experience. The hotel was lovely. Our room was lovely. Location worked perfectly for us. We enjoyed breakfast in the restaurant, dinner at the hotel bar and breakfast one morning at the coffee location with their breakfast tacos. Omni had apples out one morning, a tee towel another, and cookies the night before the UT game. Everything was enjoyable except the valet parking cost which is the most we have paid in any city."
5,Nice Downtown Austin Experience,"My husband and I recently stayed in the Omni Austin Downtown during a 3 day business trip. We received a club level room on the 15th floor. The room included a small balcony with a nice view and a large bathroom with large walk in shower. The club access was a nice touch. The afternoon hors d'oeuvres included several hot choices along with other snacks, wine, beer, and liquor. The hotel itself felt slightly dated. However, overall it was a good choice being in a location central to lots of good bars and restaurants. The lobby bar was a nice place to unwind and the staff at the hotel were friendly and helpful. We self parked, which was very pricy...might as well just use the valet service."
2,Not worth the money,This hotel uses its name to get by. The rooms are subpar especially for the price. The elevators are always broken. The walls are paper thin and you can hear everything all the time. Its just NOT worth the money.
5,Couldnt say it better than my 9 yo.,"My son wrote his summer report about his stay at the Omni and ended every sentance with ""and I had a great time!"". From scenic view from the roof top pool to the kind and welcoming staff you feel like kings and queen for the stay. Much appreciated break from the routine rat race!"
4,Customer service,Beautiful hotel. Clean and the staff was great. The hotel provided free umbrellas to guests which was great because it rained. The location was very good. We were able to walk to everything. I can't say enough about the staff. The door man was always there to open doors. Greatv
5,Austin for F1 race,"Checked in on the 31st of October 2019 for 5 nights, all the staff we interacted with at the hotel were superb from, reception, concierge, bar, restaurant and housekeeping. Very clean rooms, clean public areas"
3,Very average hotel,Nothing special about this hotel although staff were nice and location was good. My room was a decent size but just not laid out in a user friendly way and dated decor. I looked into the atrium. I found breakfast horribly cold and unwelcoming - it was a wintery cold night and morning and the atrium was freezing. Everyone was wearing their coats. Overall very average experience.
1,"Poor service, Outdated hotel","There was not much pleasant about my stay. First, I was confirmed for a king, however my husband and I were denied a king room. When we asked to speak to a manager, Graham told us that even though we were confirmed, the next night was sold out and they needed the kings for those guests and that since we were part of a group rate, our room type was not guaranteed. My email confirmation did not state that our room type was not guaranteed, only that we were confirmed for a king. Very poor explanation and left us feeling invaluable. My husband and I had to sleep separately.The room is in severe need of an update. Glass top desk means that the optic mouse does not work. I had to crawl under the desk to plug in my laptop as there were no easy access outlets on the desk. Had issues connecting to the wifi and had to make several calls to the front desk about it. The desk chair was creaking and uncomfortable. The bathtub was cracked and peeling.On our last day, we ordered breakfast to be delivered between 7 and 7:15. We called to confirm the order at 7:30 and the 'hostess' who answered had no idea about where our food was. The order finally showed up at 7:45.Overall, not a great experience at Omni Austin. I've stayed at many other Omnis and had much higher expectations. This hotel dropped the ball."
4,Nice Property...,"But you pay for it. Overall this is a nice property. But it's not cheap. Our room was clean but lacking in USB ports so some updating is in order. Right in dowtown so you can walk to a lot of places which we like and did. But again, be prepared to pay for it. Our room with 2 queen beds was close to $400 a nite after all the taxes were applied. It has a bar which we spent some time at. Grant, the one bartender was super nice. The one drink we had was delicious called the Tropicali. They also had a coffee kiosk (Morsels) which was great in the morning for us to get a specialty cup of coffee. If you have the money, it's not a bad place to stay."
5,Omni Austin Downtown,"Omni Hotel downtown Austin was convenient, the entire staff friendly and informative!! Rooms were a little outdated but clean. I would recommend to anybody!! I went to the roof top pool and the sights are amazing to look over Austin!!"
