rating,title,review
5,Great Experience,"The hotel has a great history complete with the occasional ghost. The hotel was located if a great part of town and there were plenty of things to do with in walking distance. However, what really mad the experience was the people. Everyone seemed to be enjoying their jobs and dedicated to make our stay a great one!!"
5,Impressive first night,"I just arrived at the Driskill this evening, and have had a great stay so far. I was emailed with my room number a few hours before my requested arrival time, and after a long day in class and a fairly painful Uber ride through downtown Austin (traffic was rough), arrived at the hotel. The doorman welcomed me and held the door, lobby was beautiful and spotless. The front desk clerk welcomed me to the hotel with a smile, quickly reminded me of my room number, informed me about breakfast options and directed me to the elevator. Check-in was fast and helpful, and I appreciated that.There was fruit-infused icewater, which was a nice touch.I'm staying in suite 413. The room is attractively and comfortably furnished, and management obviously has put effort into keeping the rooms functional while choosing decor to honor the history of the hotel. As has been the case in every part of the hotel I've seen so far, the room is spotless. Mattress and bedlinens are comfortable, and the thermostat was set to 70 degrees, which I think is about right for most people. I do not hear excessive noise from the hall or other rooms, and feel like I will be able to relax tonight and maybe get some postcards sent home and do a bit of work.I went down to the hotel bar for dinner. I got off the elevator at Mezzanine level, which takes you into the back of the bar...I was not sure if there was a hostess for seating or it was self-seating, so I asked the first server I saw. As has been the case throughout my stay here, I was welcomed with a warm smile and invited to seat myself. The server who welcomed me was Sara, and I sat in her section of the bar. She promptly brought a menu and took my drink/appetizer order. I had the crispy Brussels sprouts. They were delicious. I was only able to drink one bottled water at lunch today, and guzzled water like a camel, but Sara kept up and never let my glass get more than half-empty despite it being very busy in the bar. I had the smoked French dip. I asked for A1 or Heinz 57 for my fries, and she informed me that they didn't have those. That was okay (she brought ketchup), and I started my meal. The sandwich and fried were good. Sara returned within a couple of minutes with a bottle of A1. I think this woman went to another of the Driskill's restaurants and found it for me. It was busy in that bar, and she had a lot of tables with multiple thirsty guests, but still took a minute to get this done for me. This is obviously someone who takes pride in doing her job well, and I really appreciated the extra effort. I hope the hotel's management will take note.I worked in restaurants in my early 20's. I traveled for business around 70% of the time during my late 20's and early 30's. I've since changed careers and don't travel nearly that much now, but I still do a fair amount of leisure travel and some for business. I feel like I have an understanding of what excellence in hospitality is, and I feel like the Driskill has provided that. I hope the team here is proud, because you've earned the right to be."
5,Great Experience at my recent stay at the Driskoll.,The bed was comfortable/ sheets amazing. Quiet and very roomy. Clean nice size bathroom. Spacious area for working and liked you could close off the work area from the bedroom. Hotel was very clean and friendly staff.
5,Most Excellent!,Wow - didn't know anything about this place and needed a place to stay one more night. What an incredible surprise. Full of character and history. Great live music in lounge and nice cafe. Rooms impeccable along with the service.
2,Worst hotel ever,"This is the worst hotel I have ever stayed in. They gave me a room 3 feet from the elevator. A room like this should not even exist but if it has to, then it should be given to someone who books at that minute or with some crazy discount; i booked 6 months in advance and paid full price. So, every morning we are dealing with loud people in and out but worse is that the service elevator is also right there with the staff slamming the door every 5 minutes from 6 in the morning and on. If I sound a little cranky writing this it’s due to the lack of sleep I’ve had the last 4 days. The staff is not rude but stand offish. The dinner menu ends at 10pm. I called for room service at 10:02 and they wouldn’t let me order potatoes because if was after 10. Not even a, “let me check with the kitchen”; just an F-u. They charge prices like they are a high end hotel but don’t have the attention to detail. My room was pretty spacious but there was only one trash can. There were 2 desks but one chair. Most reservations have 2 people, so what happens when you order room service; one person has To eat standing over the sink? They don’t t even 3 towels in the room, standard is 4. One roll of toilet paper. When we got the room serviced they didn’t replenish the water. There is one tiny towel bar in the bathroom but plenty of wall space. where are you supposed to hang your towel? I tried to get a late checkout, and you would think they could accommodate this given they stuck me next to the elevator but all they could give me 1130 which is the normal checkout time anyway. When i offered to pay they told me it was $100 and could not guarantee it. For these prices you are better off going to the Four Seasons where it’s consistent."
3,"Nice, but not impressive.","Nice, but nothing to get too excited about. Rooms are small. Valet were rude on check out. We couldn’t find a seat anywhere to eat or sit in the bar or empty restaurant at 6pm bc everything was reserved and we were sent to another restaurant across the street. I don’t need to return and you wouldn’t be missing out if you didn’t visit either."
4,Very pricey but nice,"We stayed here for two nights while visiting with family. Rooms are expensive, and you won’t receive much space for that price. But you will be staying at a historical hotel with a good location. Concierge was quite helpful, but the service at the lounge was awful. Our family sat in the lounge for 30+ minutes with no waitstaff approaching us. Won’t stay here again, but it is a beautiful property."
3,"Great, with conditions!","Having grown up in Austin but now living overseas, we decided to stay at the Driskill for a special family event (even though we still have family in town with whom we can stay). We thought the nightly rate of $519 (plus taxes and fees) for a queen room was crazy high, but this was a special night so we booked it. We figured there must be something going on in the hotel or in town to cause a high demand for rooms. As it turned out a large wedding party was in the hotel. After we booked we were offered an upgrade to a king room for $50 plus $8.50 taxes and fees, so we accepted it. Upon arrival the valet was welcoming and friendly and took our car away. Both the outside and lobby of the hotel are regal and grand; a real historical gem. The lady at reception checked us in…"
5,Beautiful Hotel Downtown Austin,"Fun bar and restaurant in the hotel right in the heart of downtown Austin. I have been here a number of times, the most recent for the Austin Film Festival and always have a great time. I’ve never stayed here, living in Austin, but it is a popular hotel"
5,BEAUTIFUL HISTORIC RENOVATION,"The Driskill is an A+ hotel centrally located in lively downtown Austin. This historic structure has experienced numerous sensitive renovations over the years since it's opening in 1886. If you're an architecture lover and don't mind a smaller sized room and bathroom, this might be the spot for you. Many of the hallways are appointed with oil paintings featuring Texas themes. Although they are not necessary original art antiques they create a lovely gallery vibe as you stroll from the elevator to your room. The service was exemplary and the hotel was spotless. There is a lovely breakfast and lunch cafe off of the lobby, where you can buy tasty pastries with your coffee and in the evening, you can relax at the mezzanine bar, where there will often be live music Austin style!…"
4,Visited for F1,Really great historic hotel. The architecture and artwork in the hotel bring all sorts of visitors just to see the lobby.Rooms are nicely done in a very historic theme. Bathrooms a little small but not unusual for a historic property.Food is good. Concierge (Chris) was great and very helpful.They do need some work on housekeeping and front desk. Housekeeping acted annoyed any time you asked for something (like can you come back in 10mins to do room service) or they just did not do it. Front desk was nice enough to extend checkout by 1hour to 1200 which is really more standard than 11. However they invalidated the keys at 1100 so you were locked out of room. Another wait at front desk to get luggage and check out.Otherwise again nice hotel but at the price point they set details matter.
5,LOVE THIS HOTEL!!!,"LOVE The Driskill. My home base when in Austin. What a historic hotel should be. Unique, interesting and best location in town.Rooms are really well done and the nods to Austin’s history.Can’t wait to go back."
5,"Fantastic Conference, Book Fair, and Film Festival","From the moment we arrive we were greeted and helped by staff who bent over backwards to make us welcome. We were able to immediately see the Day of the Dead parade outside the hotel, visit the book fair down the street, and the film festival in the hotel, as well as attend a stunningly good CME conference from University Learning Systems. Bravo."
5,Driskill 10/19,"One of my favorite hotels anywhere. Beautiful architecture. Great location. Excellent staff. The walls between rooms seem fairly thick for an old hotel. Comfortable rooms. Not much of a view, but no worse than any other hotel in that area."
4,Driskill Review,"Besides the rooms being slightly uncomfortable and no hot water, hotel was beautiful. Amazing food, bar and great staff. The entire hotel was squeaky clean and I loved the old-time vibe the hotel captured."
5,Never Disappoints,"My husband does a great deal of business in Austin and whenever I am in tow, we usually stay at the Driskill. The Driskill never disappoints! My last visit there we stayed in one of their spacious suites. An elegant and prominent feature about this room was the double glass French doors leading out to a terrace that provided great views of the city. Indoors there was a fireplace, a soaking tub and workspace, a small walk in closet, and a sitting area. These features made for a comfortable and pleasurable stay. There is a small, but efficiently run café that serves both traditional American style eggs options and fun Mexican style breakfast cuisine. Make sure you are hungry, because the portions are quite large. The coffee and fresh baked muffins made on the premises are another…"
5,Top Notch Hotel,Wish I could have stayed longer! This hotel along with the staff and food are exceptional. One of the quietest hotels (especially being downtown) I've ever stayed in. The staff were attentive and extremely accommodating. I was attending a conference. The food served was not your typical hotel food. It was also exceptional. The staff are all friendly and helpful. The room details are above 95% of most hotels. Highly recommend The Driskill.
4,"Stay in a historic and luxury hotel downtown Austin, TX","Excellent location in downtown Austin, TX. Oldest operating hotel in the city, offers a good approach to luxurious place. Good service and nice rooms. Try to avoid staying in the first floor as it gets noisy (even inside the rooms). The bar seems to be a very popular hanging out place for both locals and guests."
5,Try the Driskill Grill,"Weekend getaway with a gf. We enjoyed the history of the hotel as well as the world class service received by the hotel staff. We spent a lot of time exploring the hotel and admiring the artwork. Don’t be surprised if you see a spirit or two. Supposedly haunted hotel. We stayed in the Governor Suite 😉. Try the Driskill Grill for awesome food and drinks, reasonable prices."
2,Need a massive renovation.,"Beyond the beautiful lobby and rich history of the hotel, it needs a complete gut and an entire renovation. The hotel is extremely long in the tooth. It could be an amazing hotel given it's location and history but it need a $100m renovation."
5,Unique and beautiful,Hotel has such a cool history; you really feel like you have stepped back in time. Elegant decor and bar with glass piano is awesome! Beds are very comfortable and coffee room service came up within 5 minutes at 9 am
5,Beautiful building!,"Food is amazing, staff is friendly, the sites within the entire hotel are beautiful. You must try the 1886 cafe, expensive, but so worth the funds. My only annoyance was that the shower water would range a lot between lukewarm and hot while you were in the shower. But, old buildings have weird issues like that."
