rating,title,review
5,Excellent Annual Conference as Always at Westin Domain,I attend an annual conference each year in January at the Westin Domain. Time after time the staff goes above and beyond to accommodate all our requests. The hotel is located in the trendy Domain area of Austin. You can literally park your car and walk to all sorts of shopping and dining. Top Golf is less than a mile if you have extra time for some leisure! Will be back!!
2,Meh...,1. Room was not cleaned and we were staying 2 nights2. Valet parking is expensive and unwieldy when streets are closed by the hotel3. Found red and green stains (bio) on comforter which was grossWill not be returning.
3,OK stay. Much better options in Austin,The lobby music is way too loud that you can’t hear the reception staff and they can’t hear you. You can’t have a conversation and have to go outside to talk. This was at 10pm Sunday and 8am Monday. The WiFi is poor and intermittent. When you ask staff they shrug shoulders and say “yeah we get that a lot”. I normally stay at JW Marriott it Aloft and they are much better.
5,Girls trip,Roslyn at the rooftop bar was awesome! She took care of our group all night. It made the beautiful city view that much better. Can’t wait to return for another trip with friends to try out more of the city.
3,Too many vagrants,I understand that it is not the Westin’s fault but it’s the city of Austin and the state of Texas that bears responsibility for this. Maybe they should invest some money into fixing the social safety net. If this is what a red state is I am glad I pay state taxes.
4,Great Hotel in Austin,"We had a great stay at the Westin Austin Downtown. The location was ideal for all of our sightseeing, eating and drinking, with most places we wanted to visit within a 20 minute walk.The staff (led by Isabelle Russell and Jaylin) provided great service during our entire visit, including a nice recognition of our 1 year wedding anniversary, and always had helpful recommendations to share. The gym was fairly typical for a hotel gym, with a good selection of cardio equipment, as well as some free weights and machines, as well as TRX cables.We would definitely stay here again."
5,"Awesome, Caring Staff!!!","We encountered such caring and accommodating people at the Weston Austin Downtown Hotel. We arrived at the hotel with our tiny Chihuahua just after learning that she was dying from kidney failure. Everyone from the Valet to the front desk to the restaurant was so kind, helpful, and accommodating that it made a terrible situation so much easier. Adrian (the host in the restaurant) even went so far as to place a postcard expressing sympathy under our door. Morgan and Murphy at the check in counter were also extremely kind, helpful, and accommodating. The room was nice and room service was prompt and kind. There were others that I wish I knew their names, but all in all the staff was amazing!"
5,Fantastic staff,"Isa, one of the evening staffs, was absolutely welcoming and made my stay very eventful. The hotel was clean and in a perfect location. The room was very comfortable and clean. Close to all of the events."
5,Austin in November,Great Location. Great Service. All staff helpful and friendly! Check-in and check-out fast and easy.Any request was handled quickly and effieciently.One evening I asked a staff member for a recommendation for dinner. It was a great great choice!
5,"Way to go, Westin!!!","Great place to stay!! Appreciate you taking such good care of us! Clean rooms, kind staff, great food, fabulous location, the view from the rooftop bar and pool was amazing too. Made our time in Austin wonderful."
5,"Excellent service, style and location!","Hotel staff was incredibly nice and accommodating, rooms and hotel exceptionally clean, rooftop bar had stunning views and great drinks! I Will definitely stay again! Hotel restaurant fantastic as well!"
5,Good stay,"Everything is EXCELLENT, I stayed the third time in Westin Austin and everytime it was a realy good living in there. The service is allways excellent in ervery way. It is allways good to come back to Westin."
5,F1 Race weekend,"We thoroughly enjoyed the hotel. Everyone was extremely helpful, and polite and courteous. The restaurant was exceptional. I used the fitness facility, audit is well equipped.We had breakfast in the restaurant and my only complaint was In had to ask for peanut butter and jam. This should be on the tables. When I requested these items, I would only get one jar of jam and one pod of peanut butter. Why so stingy?"
4,Great location but...,The location is great. Just steps from 6th and blocks from Congress. The rooms were nice but need some attention to detail. Shower had mildew and the box spring had massive stain (ala murder scene). Great continental breakfast for Bonvoy members. Great servers at Stella!!! Azul at pool deck was awesome.
4,Some problems,"to people who are not hearing impaired, this seems like a small problem. Unfortunately, I am hearing impaired. The closed captioning on the tv wouldn't work except for about 10 minutes on one day.The other problem had to do with the security of the room. This was one of the rooms with two doors. When I awoke after the first night, the second door (not the main entrance to the room) was unlocked. It must have been unlocked all night or was unlocked during the night by someone. Management apologized, but when that happens you don't sleep very soundly thinking that someone might come back in the middle of the night."
5,The Westin Austin will not disappoint!,"My brief stay at the Westin in Austin was perfect. Employees were kind and helpful, amenities were fantastic, suite was comfortable and quiet, rooftop pool bar was inviting. I will consider the Westin on future travels."
3,Disappointed,We are lifetime Titanium members with Marriott Bonvoy and this is the second time we've stayed at the Westin Downtown. Both times have been disappointing... They do not pay attention to guest requests (hypoallergenic room) and their housekeeping was terrible. They forgot to clean our room one of the days. Their housekeeping and front desk managers apologized but never did anything to resolve the issues.
5,Wedding,"This Westin Hotel had a professionalism that was unparalleled!!! The staff made you feel like family. Above and beyond anything I have ever experienced! I had a unusualdilemma that happened to me on Saturday , Oct 19th of this year. I'd like to mention some names that need to be mentioned. At the Spa, Symphony and Victoria were amazing associates! Fernando Hernandez was helpful with my dilemma. SimplyXO Events had 2 ladies that were on top of the wedding party, making sure everyone's needs were met, and making sure the band members had things to eat at the green room across the hall. Their names were Caroline L.and Maddie H."
2,Frustrating experience,"Westin is always a great option. Not this time. Room was not properly clean, not even during the stay and per request. Staff would knock on the door early in the morning for info they have on system and packages where only delivered after many many many requests.One of my top 2 worst hotel experiences in life."
5,NTMA Conference - stay,"Really great experience! Amazing staff, very personable and detailed approach to their customers. I felt like they really cared for everyone they interacted with and really went above and beyond for this loya member. The staff truly makes the experience, and you should be very proud of the group you have working for you at this location. I usually don't leave a review, but had to make sure that they receive recognition for their hard work and dedication in exceeding all expectations. I will be back, and the best experience I have had yet form all my Marriott travels over the years. GIVE THEM A RAISE! Thanks again for everything, gold star review!"
5,Great Place with Great Staff,"I especially want to Thank Pilar. We arrived a little early to check in, after a long day of traveling. We were close to losing our patience 2 hours later, but Pilar handled it professionally and with compassion and got us into our requested corner King room. Then she later sent a gift to our room to thank us for our patience. Thank you again Pilar."
