rating,title,review
5,It's was Cold in Austin but its Always Warm at the Dub (W Hotel),"I write a review every few years. I was just there a couple of weeks ago and it was cold in Austin but as always the W folks made it great. I have tried all of the hip, trendy new hotels because I have reached lifetime titanium, however I keep coming back to the W Austin because of many reasons. The folks at the front desk like Javier and Frank's, gracious and knowledgeable, Insider team like Hannah make things wonderful whatever, whenever!! and if you need the code to Red Headed StepChild or reservation at one of the tried and true restaurants no problem. Finally, you really don't need to leave the W for food or drink. Nick's team can serve well and Dustin makes the best drinks in town. Enjoy! Let them know that Ol' Bruce sent ya!!!"
4,Nice hotel,This is a nice hotel in a good location. Like all W’s it’s got a hip vibe too. The rooms are comfortable & clean. The lobby & bar areas are good places to meet colleagues or friends. I’d stay here again without hesitation.
2,Meh,Stayed here b/c I’m a Marriott platinum member. I usually do the four seasons in Austin but hubby always wanted to try the W. So we tried it. Felt nickeled & dimed. No free water. My mini bar bill was insane. No one responded when I inquired about it.:( The JW is better. Four Seasons best.
1,AVOID if the security of your personal financial information and identity are important!!!,"8-31-09 I made a reservation for the W Austin and as a Titanium member attempted to check in early as it's one of the listed benefits allowed titanium members. Prior to arriving I called the property to inquire about availability. The night auditor on duty clearly indicated they had plenty of availability.Upon arriving at the property she was adamant I would not be able to check in early despite having verified there was availability. She further continued attempting to create a new reservation for the night prior using my points for the night before, plus current night and following night at the highest bar rate available. I chose to simply go to another property. In the time it took drive 5 blocks my account was placed under audit and suspended. Elite services was unable to tell me why this was done. But later indicated someone called in pretending to be me to make a reservation on my account using my points. Additionally, I received email confirmation at 4:40 am CST and a little after 9:00 am CST a reservation was made under my account using my points. Which of course my account was under audit and not something I could have done. The following day I got an email from Marriott Corporate stating the attempted reservation on points for the W Austin would not be honored due to security concerns.As I was no longer able to access my rewards account I had to pay an exorbitantly inflated nightly rate for a room at the next property.A few days later I called elite services and spoke with a manager who was able to take my account out of audit. He suggested I create a pin for my account and while assisting me in setting this up, my account was thrown back into audit. According to the manager someone had called back in pretending to be me while I was still on the current call with him. There were no other notes or reasons given for my account being suspended.I then called the property informing the assistant manager of my suspicions of who the guilty party may have been based off the timing of events and information/documentation received from Marriott. Rather than take my concerns seriously, the assistant manager laughed it off. To assist in an investigation I offered to send him the documentation and recorded phone conversations with his night auditor and Marriott elite services. I was shockingly mistaken to learn the property had no intention of investigating such a serious issue. My offer to provide the evidence collected at that point was refused by the assistant manager. Rather than taking this potential fraud and identity theft seriously he informed me from that moment I was now banned me from the property. Taking how serious of an issue this is I find it highly unusual.My repeated requests for both the W Austin and Marriott Consumer Affairs to investigate this matter have all been refused. This left me with no choice but to file a police report with the local authorities."
1,Scary Hotel for a Women to stay alone,"I’m having a hard time finding something positive to start this review with. Okay, the staff who works at the pool are amazing! They are the gold stars of this hotel!This hotel needs a remodel. Stains on the carpet everywhere. The water coming from the sink smells like sewer water. The parts of the curtains that should be white are tinged in yellow and brown. It is disgusting.Here’s the part that is most disturbing to me. I had my Do Not Disturb on my door while I was in my room taking a shower.... luckily the bar was across... as I’m getting out of the shower I hear this BAM! Someone is coming in my room! WHAT DONT YOU UNDERSTAND ABOUT DO NOT DISTURB??????? That is such a huge violation!I call down to Whatever-Whenever about someone coming in my room and they could have cared less. It was a joke to them. All that was standing between me and whoever was coming in that door was that bar. This is not a safe hotel. They have no respect for women staying alone."
1,W AUSTIN IS NOT A SAFE PLACE TO STAY.,"W AUSTIN IS NOT A SAFE PLACE TO STAY. I was a victim of HARRASSMENT between checking-in & the elevator up to my floor August 11th; neither Staff or Security responded. Then the front desk gave my room number & 3 key cards to my room to 3 friends of mine from Houston which I DIDN’T INVITE NOR WAS I EXPECTING to BUST INSIDE my room & run up a tab at the pool, etc. This is after I was told by a Female staff member over the phone that my Checkout was August 12 at 12 noon, and then later on the 11th a Male Staff Member told me I was lied to & check-out was THE SAME DAY I CHECKED IN. The W has NOT APOLOGIZED OR DONE ANYTHING except charge me over $1150 for not even 1 day. To boot, it has been 3 DAYS and corporate ‘Marriott International’ has yet to respond nor compensate me for the atrocities I experienced."
4,Solid Stay,Hotel was nice and served as a good base for us. Staff was friendly and accommodating. Lobby is a bit cold and dark. Feels unfinished. The room was adequate but a bit out of date. Needs more outlets and USB's.
5,Southern hospitality,"We weren’t staying at this hotel but we were at Trace for drinks before dinner.My husband walked into the lobby with our pup, Venchi and he immediately spawled out in the middle of the lobby because it was only 104 degrees out! The staff was so nice and brought him water. Venchi made a mess with the water but drank every bit of it. We were seated in the covered patio area and our doggo even got a puppy icecream (yogurt, banana, PB)! Venchi wants to thank everyone for taking care of him. Love the hospitality and generosity of the staff!"
5,Great Pool Scene,"The hotel is awesome. I specially enjoyed my time at the pool. The staff was friendly and attentive, especially Eugenio! Nothing was ever too much. He gave us great recommendations on places to visit while on our stay at Austin. Definitely going back before summer ends."
5,Austin Weekend Getaway,"The W Austin is a fabulous hotel. I really enjoyed the pool with friends. The food and drinks are great and one of a kind service. Eugenio provides ⭐️⭐️⭐️⭐️⭐️ service, he never let our glasses be empty 😃."
5,Highly recommend the W for a weekend away,Our room was ready early and we received an upgrade. Dorian Rodriguez was super helpful and his restaurant/shopping recommendations were great. All of the staff we dealt with were friendly and prepared to go above and beyond. The pool space is very cool and the food at Trace was great. This was our first trip to Austin and we will definitely be back to the W.
5,Awesome staycation!,"I had a birthday 'staycation' at the W Austin and it was one of the best I could've asked for! From pre-arrival, it was apparent that everyone was eager to help make it a special weekend. Frank, Tilley & Brian in the Front Office made sure that I had everything I needed to enjoy my stay from check-in to check-out. Gene at the pool was especially friendly & attentive, and helped me celebrate with some of the other pool servers & bartenders. Nathan at Trace was great as well. Always awesome vibes from the front drive to the team at Away Spa & the style team! Very obvious that the culture is fun loving yet professional from the top, down. Love staying at the W -- will definitely be back soon. Thank you for another great stay!"
